Point_id, Cluster_id
0, 1319
1, 2073
2, 313
3, 1319
4, 1319
5, 6196
6, 313
7, 2851
8, 6261
9, 6261
10, 2851
11, 313
12, 585
13, 827
14, 1319
15, 313
16, 1319
17, 1319
18, 1319
19, 313
20, 827
21, 2838
22, 1319
23, 1319
24, 827
25, 2838
26, 2838
27, 2838
28, 6196
29, 2910
30, 6196
31, 1319
32, 2838
33, 5483
34, 1319
35, 827
36, 2851
37, 2910
38, 2838
39, 1319
40, 2838
41, 6261
42, 1319
43, 1319
44, 6261
45, 827
46, 585
47, 5798
48, 1319
49, 313
50, 2838
51, 2838
52, 2073
53, 585
54, 6261
55, 2838
56, 6261
57, 585
58, 585
59, 827
60, 2073
61, 1319
62, 2073
63, 2910
64, 827
65, 6196
66, 2838
67, 1319
68, 827
69, 585
70, 1319
71, 2910
72, 2838
73, 1319
74, 5798
75, 2073
76, 827
77, 6261
78, 2838
79, 2838
80, 5798
81, 6196
82, 1319
83, 2073
84, 5483
85, 6261
86, 2838
87, 6261
88, 827
89, 827
90, 1319
91, 6261
92, 2910
93, 1319
94, 827
95, 6261
96, 2910
97, 6261
98, 6261
99, 2910
100, 5798
101, 1319
102, 313
103, 2838
104, 827
105, 1319
106, 313
107, 1319
108, 2910
109, 5483
110, 6261
111, 1319
112, 5483
113, 1319
114, 1319
115, 6261
116, 1319
117, 2838
118, 313
119, 2910
120, 2073
121, 5798
122, 6196
123, 1319
124, 1319
125, 313
126, 313
127, 2838
128, 6196
129, 1319
130, 1319
131, 2851
132, 5798
133, 827
134, 313
135, 313
136, 2838
137, 5798
138, 585
139, 6261
140, 6261
141, 6261
142, 1319
143, 2851
144, 6196
145, 1319
146, 2910
147, 585
148, 1319
149, 1319
150, 6196
151, 5483
152, 2073
153, 2073
154, 6261
155, 313
156, 1319
157, 827
158, 6261
159, 2851
160, 313
161, 1319
162, 6196
163, 2073
164, 2838
165, 2838
166, 2851
167, 2838
168, 2910
169, 585
170, 5483
171, 2838
172, 313
173, 2851
174, 6261
175, 2910
176, 585
177, 6196
178, 313
179, 1319
180, 2910
181, 6261
182, 1319
183, 1319
184, 1319
185, 2838
186, 2073
187, 5483
188, 2838
189, 6261
190, 6261
191, 585
192, 1319
193, 1319
194, 2838
195, 1319
196, 6196
197, 313
198, 1319
199, 6261
200, 2910
201, 2851
202, 1319
203, 6196
204, 1319
205, 2910
206, 2910
207, 2838
208, 585
209, 2838
210, 1319
211, 827
212, 2838
213, 1319
214, 827
215, 2073
216, 2073
217, 6261
218, 2851
219, 6196
220, 1319
221, 313
222, 827
223, 2073
224, 313
225, 1319
226, 6196
227, 2910
228, 2851
229, 5798
230, 6196
231, 585
232, 827
233, 2838
234, 313
235, 1319
236, 827
237, 5798
238, 6261
239, 2838
240, 1319
241, 1319
242, 6261
243, 6196
244, 2838
245, 6196
246, 6196
247, 1319
248, 827
249, 2838
250, 2073
251, 1319
252, 313
253, 2851
254, 6261
255, 5798
256, 313
257, 1319
258, 2851
259, 1319
260, 6261
261, 6261
262, 1319
263, 2073
264, 2838
265, 5483
266, 2073
267, 313
268, 5798
269, 2073
270, 585
271, 313
272, 6261
273, 6196
274, 6261
275, 5483
276, 2838
277, 2838
278, 1319
279, 827
280, 2910
281, 6261
282, 6196
283, 2838
284, 6261
285, 1319
286, 2073
287, 313
288, 2073
289, 313
290, 1319
291, 827
292, 1319
293, 1319
294, 6261
295, 5483
296, 1319
297, 2838
298, 2073
299, 1319
300, 5798
301, 6196
302, 2838
303, 5483
304, 2851
305, 5483
306, 5483
307, 2851
308, 1319
309, 5798
310, 1319
311, 1319
312, 313
313, 313
314, 6261
315, 313
316, 2910
317, 1319
318, 1319
319, 313
320, 1319
321, 2838
322, 827
323, 2838
324, 827
325, 5798
326, 5798
327, 2838
328, 2910
329, 6261
330, 2073
331, 6261
332, 2073
333, 6261
334, 313
335, 6261
336, 2073
337, 585
338, 1319
339, 2851
340, 6261
341, 1319
342, 2838
343, 1319
344, 313
345, 6261
346, 2838
347, 313
348, 2838
349, 313
350, 313
351, 1319
352, 6196
353, 1319
354, 2073
355, 313
356, 1319
357, 1319
358, 6261
359, 5798
360, 313
361, 2073
362, 1319
363, 2838
364, 2910
365, 2838
366, 6196
367, 2838
368, 2073
369, 6261
370, 2838
371, 6261
372, 6261
373, 585
374, 2910
375, 2851
376, 827
377, 6196
378, 1319
379, 2073
380, 1319
381, 5483
382, 2073
383, 1319
384, 6261
385, 2910
386, 1319
387, 1319
388, 2838
389, 1319
390, 1319
391, 6196
392, 313
393, 6196
394, 2851
395, 2838
396, 2910
397, 2851
398, 827
399, 1319
400, 1319
401, 1319
402, 1319
403, 313
404, 6261
405, 2073
406, 6261
407, 1319
408, 585
409, 313
410, 313
411, 6196
412, 6196
413, 6261
414, 2910
415, 827
416, 313
417, 6261
418, 2910
419, 5798
420, 2851
421, 313
422, 585
423, 2073
424, 5483
425, 313
426, 1319
427, 2838
428, 2073
429, 585
430, 2838
431, 6196
432, 2073
433, 2838
434, 6196
435, 2838
436, 6261
437, 1319
438, 6261
439, 313
440, 1319
441, 1319
442, 2910
443, 2073
444, 2910
445, 2838
446, 1319
447, 5798
448, 2851
449, 827
450, 1319
451, 2910
452, 2851
453, 2910
454, 1319
455, 313
456, 313
457, 1319
458, 2073
459, 5798
460, 2073
461, 585
462, 2910
463, 2910
464, 6261
465, 2910
466, 6261
467, 2073
468, 1319
469, 6261
470, 6261
471, 585
472, 5798
473, 6261
474, 5798
475, 2073
476, 1319
477, 1319
478, 1319
479, 6261
480, 5798
481, 2073
482, 1319
483, 6261
484, 5483
485, 1319
486, 2910
487, 585
488, 2073
489, 6261
490, 6261
491, 6261
492, 6261
493, 827
494, 313
495, 827
496, 313
497, 1319
498, 313
499, 1319
500, 2910
501, 1319
502, 2838
503, 2838
504, 2838
505, 1319
506, 313
507, 6261
508, 2910
509, 2838
510, 1319
511, 5798
512, 6196
513, 1319
514, 2838
515, 6261
