Point_id, Cluster_id
0, 1319
1, 1319
2, 313
3, 313
4, 1319
5, 6196
6, 2851
7, 2851
8, 585
9, 2910
10, 1319
11, 313
12, 313
13, 2851
14, 2073
15, 313
16, 1319
17, 585
18, 5798
19, 313
20, 5798
21, 1319
22, 1319
23, 2073
24, 2073
25, 6196
26, 6196
27, 6196
28, 1319
29, 2910
30, 5798
31, 2073
32, 6196
33, 5483
34, 585
35, 5798
36, 2851
37, 2910
38, 6196
39, 585
40, 6196
41, 585
42, 1319
43, 585
44, 585
45, 2073
46, 585
47, 2851
48, 1319
49, 313
50, 1319
51, 6196
52, 1319
53, 1319
54, 1319
55, 6196
56, 585
57, 585
58, 5483
59, 1319
60, 5483
61, 1319
62, 1319
63, 2910
64, 1319
65, 5798
66, 6196
67, 1319
68, 2073
69, 585
70, 1319
71, 2910
72, 6196
73, 1319
74, 585
75, 585
76, 2073
77, 585
78, 6196
79, 6196
80, 1319
81, 2073
82, 313
83, 2073
84, 2851
85, 585
86, 6196
87, 585
88, 2073
89, 5798
90, 313
91, 585
92, 2910
93, 1319
94, 2073
95, 585
96, 2910
97, 2073
98, 1319
99, 2910
100, 2073
101, 1319
102, 313
103, 585
104, 1319
105, 585
106, 313
107, 1319
108, 2910
109, 5483
110, 585
111, 5798
112, 5483
113, 1319
114, 1319
115, 313
116, 313
117, 6196
118, 313
119, 2910
120, 1319
121, 1319
122, 5798
123, 585
124, 5483
125, 313
126, 313
127, 6196
128, 5798
129, 2073
130, 1319
131, 2851
132, 1319
133, 1319
134, 313
135, 313
136, 6196
137, 5798
138, 2910
139, 585
140, 585
141, 2073
142, 5483
143, 2851
144, 313
145, 2073
146, 2910
147, 585
148, 1319
149, 2073
150, 5798
151, 5483
152, 1319
153, 2073
154, 585
155, 313
156, 1319
157, 1319
158, 585
159, 2851
160, 313
161, 585
162, 1319
163, 313
164, 6196
165, 6196
166, 2851
167, 6196
168, 2910
169, 585
170, 585
171, 6196
172, 313
173, 5483
174, 1319
175, 2910
176, 585
177, 6196
178, 313
179, 5483
180, 2910
181, 585
182, 1319
183, 2073
184, 1319
185, 6196
186, 1319
187, 5483
188, 6196
189, 585
190, 585
191, 313
192, 1319
193, 6196
194, 6196
195, 1319
196, 5798
197, 313
198, 1319
199, 1319
200, 2910
201, 2073
202, 1319
203, 1319
204, 585
205, 2910
206, 2910
207, 6196
208, 585
209, 6196
210, 1319
211, 2851
212, 585
213, 2073
214, 1319
215, 2073
216, 5483
217, 5483
218, 2851
219, 1319
220, 585
221, 313
222, 2073
223, 2073
224, 313
225, 1319
