Point_id, Cluster_id
0, 5
1, 8
2, 11
3, 5
4, 5
5, 0
6, 11
7, 10
8, 6
9, 6
10, 2
11, 11
12, 1
13, 4
14, 4
15, 11
16, 5
17, 5
18, 5
19, 11
20, 4
21, 9
22, 5
23, 5
24, 4
25, 9
26, 2
27, 9
28, 0
29, 3
30, 0
31, 5
32, 9
33, 7
34, 5
35, 4
36, 10
37, 3
38, 9
39, 5
40, 9
41, 6
42, 5
43, 5
44, 6
45, 4
46, 1
47, 2
48, 4
49, 11
50, 9
51, 9
52, 8
53, 1
54, 6
55, 9
56, 6
57, 1
58, 1
59, 4
60, 8
61, 5
62, 1
63, 3
64, 2
65, 0
66, 9
67, 5
68, 4
69, 1
70, 5
71, 3
72, 9
73, 5
74, 2
75, 8
76, 4
77, 6
78, 9
79, 9
80, 2
81, 4
82, 5
83, 8
84, 7
85, 6
86, 9
87, 6
88, 4
89, 4
90, 5
91, 6
92, 3
93, 5
94, 4
95, 6
96, 3
97, 6
98, 6
99, 3
100, 2
101, 5
102, 11
103, 9
104, 4
105, 6
106, 11
107, 5
108, 3
109, 7
110, 6
111, 5
112, 7
113, 5
114, 5
115, 6
116, 5
117, 9
118, 11
119, 3
120, 5
121, 2
122, 0
123, 5
124, 5
125, 11
126, 11
127, 9
128, 0
129, 5
130, 5
131, 10
132, 2
133, 4
134, 11
135, 11
136, 9
137, 2
138, 1
139, 6
140, 6
141, 6
142, 5
143, 10
144, 0
145, 8
146, 3
147, 1
148, 7
149, 5
150, 8
151, 7
152, 8
153, 8
154, 6
155, 11
156, 5
157, 4
158, 6
159, 10
160, 11
161, 5
162, 5
163, 8
164, 9
165, 9
166, 10
167, 9
168, 3
169, 1
170, 7
171, 9
172, 11
173, 10
174, 7
175, 3
176, 1
177, 0
178, 11
179, 5
180, 3
181, 6
182, 5
183, 5
184, 5
185, 9
186, 8
187, 7
188, 9
189, 6
190, 6
191, 1
192, 5
193, 5
194, 9
195, 5
196, 0
197, 11
198, 5
199, 6
200, 3
201, 10
202, 5
203, 0
204, 5
205, 3
206, 3
207, 9
208, 1
209, 9
210, 5
211, 4
212, 9
213, 5
214, 4
215, 8
216, 8
217, 6
218, 10
219, 0
220, 5
221, 11
222, 4
223, 8
224, 11
225, 5
226, 0
227, 3
228, 10
229, 2
230, 0
231, 11
232, 4
233, 9
234, 11
235, 5
236, 4
237, 2
238, 6
239, 9
240, 5
241, 5
242, 6
243, 0
244, 9
245, 0
246, 5
247, 5
