Point_id, Cluster_id
0, 0
1, 5
2, 11
3, 11
4, 5
5, 5
6, 10
7, 10
8, 1
9, 3
10, 10
11, 11
12, 7
13, 2
14, 8
15, 11
16, 5
17, 1
18, 2
19, 11
20, 8
21, 5
22, 5
23, 11
24, 0
25, 0
26, 10
27, 5
28, 5
29, 3
30, 5
31, 8
32, 0
33, 7
34, 1
35, 0
36, 10
37, 3
38, 1
39, 1
40, 7
41, 1
42, 5
43, 1
44, 1
45, 8
46, 1
47, 10
48, 5
49, 11
50, 5
51, 1
52, 5
53, 5
54, 5
55, 0
56, 1
57, 2
58, 1
59, 5
60, 8
61, 5
62, 1
63, 3
64, 5
65, 8
66, 1
67, 5
68, 8
69, 1
70, 5
71, 3
72, 0
73, 5
74, 1
75, 1
76, 0
77, 1
78, 1
79, 1
80, 5
81, 8
82, 11
83, 8
84, 10
85, 1
86, 5
87, 1
88, 8
89, 8
90, 11
91, 1
92, 2
93, 5
94, 5
95, 1
96, 3
97, 1
98, 5
99, 3
100, 8
101, 5
102, 11
103, 1
104, 5
105, 1
106, 11
107, 0
108, 3
109, 7
110, 1
111, 5
112, 7
113, 5
114, 5
115, 2
116, 11
117, 3
118, 11
119, 3
120, 5
121, 5
122, 0
123, 5
124, 2
125, 11
126, 11
127, 2
128, 8
129, 8
130, 5
131, 10
132, 0
133, 5
134, 11
135, 11
136, 0
137, 10
138, 3
139, 1
140, 1
141, 0
142, 2
143, 2
144, 11
145, 8
146, 3
147, 1
148, 5
149, 8
150, 8
151, 5
152, 8
153, 5
154, 5
155, 11
156, 5
157, 0
158, 1
159, 2
160, 11
161, 1
162, 5
163, 11
164, 1
165, 1
166, 10
167, 2
168, 3
169, 7
170, 7
171, 0
172, 11
173, 10
174, 5
175, 3
176, 1
177, 0
178, 11
179, 0
180, 3
181, 1
182, 2
183, 8
184, 10
185, 1
186, 5
187, 7
188, 1
189, 1
190, 1
191, 11
192, 5
193, 0
194, 0
195, 5
196, 0
197, 11
198, 5
199, 1
200, 3
201, 8
202, 5
203, 5
204, 1
205, 3
206, 3
207, 11
208, 1
209, 1
210, 8
211, 10
212, 1
213, 8
214, 5
215, 8
216, 7
217, 10
218, 10
219, 5
220, 1
221, 11
222, 0
223, 5
224, 11
225, 5
226, 5
227, 3
228, 10
229, 0
230, 5
231, 11
232, 7
233, 1
234, 11
235, 5
236, 1
237, 8
238, 1
239, 5
240, 1
241, 5
242, 11
243, 5
244, 11
245, 8
246, 5
247, 5
248, 8
249, 7
250, 1
251, 8
252, 11
253, 10
254, 10
255, 10
256, 11
257, 5
258, 10
259, 5
260, 1
261, 1
262, 5
263, 8
264, 11
265, 7
266, 8
267, 11
268, 5
269, 5
270, 0
271, 11
272, 1
273, 5
274, 1
275, 7
276, 2
277, 1
278, 5
279, 8
280, 3
281, 1
282, 5
283, 7
284, 1
285, 5
286, 5
287, 11
288, 11
289, 11
290, 8
291, 5
292, 5
293, 8
294, 1
295, 7
296, 5
297, 1
298, 5
299, 5
300, 10
301, 5
